Date,IBOV,Carteira,Markowitz,Selic
2025-01-02,,,,100045.51299999999
2025-01-03,98674.71383975026,99278.54739761926,98630.63779446667,100091.0467143317
2025-01-06,99914.25598335068,100756.44997056926,99855.38390501634,100136.60115242278
2025-01-07,100864.09989594172,102468.5294973067,101433.04354071466,100182.17632370528
2025-01-08,99583.7669094693,101212.09982936943,99973.7945658417,100227.77223761547
2025-01-09,99713.63163371487,101750.68923072689,100477.81633762254,100273.38890359398
2025-01-10,98943.6004162331,101051.89167882291,99665.36221405548,100319.02633108567
2025-01-13,99069.30280957336,100585.00692219936,99465.65963268655,100364.68452953972
2025-01-14,99312.3829344433,100307.16986624751,99574.82689351604,100410.36350840966
2025-01-15,102101.97710718004,102624.89297978781,101675.891682999,100456.06327715324
2025-01-16,100923.2049947971,100355.82267132774,100635.40029870182,100501.78384523257
2025-01-17,101852.23725286161,100773.71715791384,100984.83868889012,100547.52522211403
2025-01-20,102012.90322580645,101289.25358207061,101292.68441964452,100593.28741726837
2025-01-21,102674.71383975027,101774.21975645702,102208.36128675977,100639.07044017057
2025-01-22,102370.03121748178,102483.38455339638,102208.61348585537,100684.8743003
2025-01-23,101962.95525494276,101559.36408219606,101929.38642776976,100730.69900714028
2025-01-24,101932.98647242454,101741.20635083766,101752.12819047332,100776.54457017941
2025-01-27,103943.39229968781,104513.9090940025,104323.58847974821,100822.41099890963
2025-01-28,103272.42455775233,103813.38515698971,104009.70083156518,100868.29830282755
2025-01-29,102752.96566077002,102999.8379122574,103357.90933071978,100914.20649143412
2025-01-30,105650.78043704474,105348.4479005421,105146.40422572024,100963.69179087132
2025-01-31,105003.12174817898,104803.18274791708,105184.82765175203,101013.20135641482
2025-02-03,104865.76482830386,104938.04822561453,105541.71063570752,101062.73519996398
2025-02-04,104180.64516129033,104031.0680564288,105006.81393142173,101112.293333424
2025-02-05,104502.80957336108,103127.77750541797,104855.89658792765,101161.87576870593
2025-02-06,105078.04370447453,103327.67164864836,104348.44101091876,101211.48251772663
