,Pesos,retornos em %
VALE3.SA,13.636363636363637,3.2719702496132737
CSNA3.SA,13.636363636363637,-9.978398410770934
CMIG4.SA,9.09090909090909,-2.9220965822994645
ITSA3.SA,9.09090909090909,-11.263360225194168
SLCE3.SA,9.09090909090909,-4.899678229647161
LOGG3.SA,9.09090909090909,-2.31750147578646
WEGE3.SA,9.09090909090909,-14.878008616533666
ABEV3.SA,4.545454545454545,6.527849602413495
BLAU3.SA,4.545454545454545,-17.29223200649785
CSUD3.SA,4.545454545454545,-31.05700971274885
CYRE3.SA,4.545454545454545,-12.089146947914022
ESPA3.SA,4.545454545454545,-40.613851969550744
EZTC3.SA,4.545454545454545,-10.970828190613101
