,Valor_inicial(2026-01-02),Valor_atual(2026-01-02),pesos_carteira,diferenca_inicio_atual,diferenca_inicio_atual(em %),valor_inicial_investido_1000,valor_atual_investido_1000
MULT3,27.04,27.04,0.18,0.0,0.0,180.0,180.0
BMOB3,22.0,22.0,0.09,0.0,0.0,90.0,90.0
ALOS3,28.55,28.55,0.09,0.0,0.0,90.0,90.0
CLSC4,124.95,124.95,0.07,0.0,0.0,70.0,70.0
CGRA4,27.3,27.3,0.07,0.0,0.0,70.0,70.0
WEGE3,48.25,48.25,0.07,0.0,0.0,70.0,70.0
ALPA3,10.38,10.38,0.07,0.0,0.0,70.0,70.0
ENEV3,20.02,20.02,0.07,0.0,0.0,70.0,70.0
FIQE3,4.89,4.89,0.07,0.0,0.0,70.0,70.0
SBSP3,133.07,133.07,0.07,0.0,0.0,70.0,70.0
IGTI11,25.31,25.31,0.05,0.0,0.0,50.0,50.0
CMIG4,11.16,11.16,0.05,0.0,0.0,50.0,50.0
PRIO3,41.76,41.76,0.05,0.0,0.0,50.0,50.0
