,Unnamed: 0,preco_inicial(2026-01-02),preco_atual(2026-03-30),pesos_carteira,diferenca_inicio_atual,diferenca_inicio_atual(em %),valor_inicial_investido_1000,valor_atual_investido_1000
0,MULT3,26.79,30.37,0.18,3.580000000000002,0.1336,180.0,204.05
1,BMOB3,22.0,25.06,0.09,3.0599999999999987,0.1391,90.0,102.52
2,ALOS3,27.72,29.01,0.09,1.2900000000000027,0.0465,90.0,94.18
3,CLSC4,123.17,144.49,0.07,21.320000000000007,0.1731,70.0,82.12
4,CGRA4,27.3,26.3,0.07,-1.0,-0.0366,70.0,67.44
5,WEGE3,48.14,49.05,0.07,0.9099999999999966,0.0189,70.0,71.32
6,ALPA3,10.38,11.32,0.07,0.9399999999999996,0.0906,70.0,76.34
7,ENEV3,20.02,24.19,0.07,4.170000000000002,0.2083,70.0,84.58
8,FIQE3,4.89,6.54,0.07,1.6500000000000004,0.3374,70.0,93.62
9,SBSP3,132.13,154.1,0.07,21.97,0.1663,70.0,81.64
10,IGTI11,25.16,26.58,0.05,1.4199999999999982,0.0564,50.0,52.82
11,CMIG4,10.95,12.31,0.05,1.3600000000000012,0.1242,50.0,56.21
12,PRIO3,41.76,72.1,0.05,30.34,0.7265,50.0,86.32
