,preco_inicial(2026-07-01),preco_atual(2026-09-09),pesos_carteira,diferenca_inicio_atual,diferenca_inicio_atual(em %),valor_inicial_investido_1000,valor_atual_investido_1000
AFLT3,6.87,7.29,0.11,0.41999999999999993,0.0611,110.0,116.72
ALLD3,4.76,5.1,0.11,0.33999999999999986,0.0714,110.0,117.85
ALOS3,27.39,28.52,0.1,1.129999999999999,0.0413,100.0,104.13
BRAV3,18.5,18.42,0.11,-0.0799999999999983,-0.0043,110.0,109.53
CAMB3,9.52,8.48,0.1,-1.0399999999999991,-0.1092,100.0,89.08
EZTC3,13.0,12.79,0.1,-0.21000000000000085,-0.0162,100.0,98.38
INTB3,12.91,15.16,0.09,2.25,0.1743,90.0,105.69
TOTS3,28.98,33.17,0.09,4.190000000000001,0.1446,90.0,103.01
FESA3,10.65,9.83,0.08,-0.8200000000000003,-0.077,80.0,73.84
ITUB3,44.5,45.61,0.08,1.1099999999999994,0.0249,80.0,81.99
