Date,IBOV,Carteira,Markowitz,Selic
2025-01-02,,,,100045.51299999999
2025-01-03,98674.71383975026,98941.06998521605,98988.51959424272,100091.0467143317
2025-01-06,99914.25598335068,100845.88095825286,100049.25350416354,100136.60115242278
2025-01-07,100864.09989594172,102215.42391252176,100876.93550040053,100182.17632370528
2025-01-08,99583.7669094693,100522.93937201916,99968.30410047917,100227.77223761547
2025-01-09,99713.63163371487,101156.89000935796,101264.58827140459,100273.38890359398
2025-01-10,98943.6004162331,100471.27610426002,101229.8622462051,100319.02633108567
2025-01-13,99069.30280957336,100064.93360082596,99927.0485979918,100364.68452953972
2025-01-14,99312.3829344433,100706.20377179417,100747.04240638486,100410.36350840966
2025-01-15,102101.97710718004,103122.61057257248,101709.67242593272,100456.06327715324
2025-01-16,100923.2049947971,101096.98756221976,101352.29274472121,100501.78384523257
2025-01-17,101852.23725286161,102008.25295821266,102223.42945723713,100547.52522211403
2025-01-20,102012.90322580645,102444.37119249243,102086.41357535326,100593.28741726837
2025-01-21,102674.71383975027,103208.11443866866,102951.15801984907,100639.07044017057
2025-01-22,102370.03121748178,104218.24934119245,102824.68162459304,100684.8743003
2025-01-23,101962.95525494276,103319.94607332857,102038.14668697439,100730.69900714028
2025-01-24,101932.98647242454,103819.34958951188,102532.65126789453,100776.54457017941
2025-01-27,103943.39229968781,106286.02778148977,103510.68815069029,100822.41099890963
2025-01-28,103272.42455775233,106530.03262807925,103510.78816183779,100868.29830282755
2025-01-29,102752.96566077002,105762.16795026725,103069.51673850331,100914.20649143412
2025-01-30,105650.78043704474,109385.44106217471,105079.07086150725,100963.69179087132
2025-01-31,105003.12174817898,108645.17469439912,105048.57696167378,101013.20135641482
2025-02-03,104865.76482830386,108658.3314578662,104749.7424622543,101062.73519996398
2025-02-04,104180.64516129033,108242.20635869281,104397.43808998587,101112.293333424
2025-02-05,104502.80957336108,107534.19599839239,103870.79167054484,101161.87576870593
2025-02-06,105078.04370447453,107963.0774662159,103903.66246965277,101211.48251772663
2025-02-07,103741.10301768992,107263.79933782865,103548.95845181704,101261.11359240886
2025-02-10,104534.44328824143,107636.94799538617,103685.03683961972,101310.76900468116
2025-02-11,105325.28616024974,108590.40393188105,104282.62766978926,101360.448766478
2025-02-12,103542.14360041622,106659.70443628335,103577.05281372227,101410.15288973962
2025-02-13,103933.40270551508,107194.76798116582,103541.14855118697,101459.88138641218
2025-02-14,106737.9812695109,110715.74395985143,105306.8063936258,101509.63426844764
2025-02-17,107279.0842872008,111272.5251872454,105125.16951981629,101559.41154780386
2025-02-18,106998.54318418312,110606.00920448801,104996.65480388765,101609.21323644456
2025-02-19,105980.43704474502,109021.46369699959,104471.70419408774,101659.03934633933
2025-02-20,106223.51716961493,108843.62523118732,104086.94197721868,101708.88988946361
2025-02-21,105829.76066597289,107600.55158491032,104028.90838066983,101758.76487779872
2025-02-24,104392.09157127986,105152.53222157972,103285.05268761927,101808.66432333185
2025-02-25,104874.0894901144,105612.35179849798,104082.86589895794,101858.5882380561
2025-02-26,103865.97294484905,103881.01323824743,102388.033144228,101908.53663397039
2025-02-27,103890.94693028089,105539.40075030869,102843.48997533161,101958.50952307961
2025-02-28,102226.01456815809,104415.8888270803,102158.42265765132,102008.50691739445
2025-03-05,102432.46618106132,103898.31009687953,101736.40794105378,102058.52882893154
2025-03-06,102691.36316337142,104561.64820632391,101815.80046463538,102108.5752697134
2025-03-07,104087.40894901135,107141.6334019657,103130.10550849228,102158.6462517684
2025-03-10,103657.85639958369,106992.04821608232,102966.72110383393,102208.74178713089
2025-03-11,102815.40062434957,106061.61598316664,102282.83366524537,102258.86188784106
2025-03-12,103112.59105098849,106774.47227294775,102406.04164582676,102309.00656594502
2025-03-13,104588.55359001034,106748.4904288314,102785.49831608783,102359.17583349477
2025-03-14,107352.34131113418,109339.995648704,104136.69104427636,102409.36970254824
2025-03-17,108914.88033298642,110949.50126640288,104874.46791900568,102459.5881851693
2025-03-18,109448.49115504678,110955.12665099856,105200.16313167682,102509.83129342766
2025-03-19,110308.42872008319,112232.1496960993,105364.73688794453,102560.09903939902
2025-03-20,109848.07492195626,110202.56018844429,105148.4191439253,102613.97488502541
2025-03-21,110172.73673257019,110297.40485035624,105073.88105757414,102667.87903217228
2025-03-24,109320.29136316333,109835.74779981891,105058.0572016618,102721.81149570667
2025-03-25,109942.14360041618,110907.409511263,105006.71060270646,102775.77229050348
2025-03-26,110318.41831425595,111455.01441856164,105071.76134218433,102829.7614314454
2025-03-27,110842.03954214355,111973.89740249893,105739.19395267234,102883.77893342296
2025-03-28,109803.95421436,111308.30599839248,105373.48985158077,102937.82481133446
2025-03-31,108437.0447450572,109467.26126742006,104501.1114108523,102991.8990800861
2025-04-01,109175.44224765865,111164.56624658697,105915.38708387858,103046.00175459187
2025-04-02,109211.23829344427,112341.3743644226,106144.14704720122,103100.13284977357
2025-04-03,109170.44745057228,114587.0234705543,107277.38777466542,103154.29238056089
2025-04-04,105936.31633714875,111646.10134895504,106043.33613285377,103208.48036189131
2025-04-07,104547.76274713835,110190.414746782,105592.67224418643,103262.69680871023
2025-04-08,103169.19875130069,110036.32967140933,105338.58742273567,103316.94173597082
2025-04-09,106385.8480749219,113109.8143418046,106464.65678735639,103371.21515863415
2025-04-10,105186.26430801244,112221.87797880998,104460.33815395989,103425.51709166911
2025-04-11,106290.94693028092,113902.2468193697,106059.69364382915,103479.84755005255
2025-04-14,107766.07700312171,115465.08970645707,106168.6602787522,103534.20654876906
2025-04-15,107592.09157127987,116089.37500485551,106588.5513751196,103588.59410281118
2025-04-16,106819.56295525489,115355.3659470183,106241.9143617731,103643.01022717931
2025-04-17,107929.24037460974,116624.02886783221,107774.51289381656,103697.45493688177
